rxn,model,F_model,F_dft,mae_force,maxcomp_err,unstable,lambda_min,nfod,breaking_depth,unstable_model,lambda_min_model,breaking_depth_model
rxn7957,esen,0.020013,0.110737,0.029073,0.104545,1,-0.02396317,0.684467,99.789,1,-0.06136583,410.439
rxn7957,uma-m,0.009160,0.110792,0.025696,0.105962,1,-0.02396317,0.684467,99.789,1,-0.05465770,332.549
rxn7957,uma-s,0.028685,0.141367,0.030023,0.133438,1,-0.02396317,0.684467,99.789,1,-0.06189641,416.805
rxn8827,esen,0.038048,0.230527,0.054627,0.229206,1,-0.01095733,0.759862,27.538,1,-0.08726209,1083.672
rxn8827,uma-m,0.032523,0.130653,0.033362,0.133622,1,-0.01095733,0.759862,27.538,1,-0.08554024,1051.147
rxn8827,uma-s,0.028811,0.176053,0.049839,0.171045,1,-0.01095733,0.759862,27.538,1,-0.08559132,1026.011
rxn8829,esen,0.051553,0.056766,0.017557,0.057967,0,0.11405379,0.047832,0.000,0,0.11393387,0.000
rxn8829,uma-m,0.037635,0.044565,0.007433,0.021372,0,0.11405379,0.047832,0.000,0,0.11447641,0.000
rxn8829,uma-s,0.039408,0.046648,0.012376,0.044453,0,0.11405379,0.047832,0.000,0,0.11444835,0.000
rxn8832,esen,0.037995,0.226758,0.046482,0.231430,1,-0.04925497,0.999667,428.017,1,-0.08853680,1032.633
rxn8832,uma-m,0.034381,0.076704,0.014114,0.075555,1,-0.04925497,0.999667,428.017,1,-0.08783545,1033.343
rxn8832,uma-s,0.028433,0.097456,0.028451,0.092434,1,-0.04925497,0.999667,428.017,1,-0.08725776,1000.139
rxn8837,esen,0.091515,0.096399,0.013762,0.081222,1,-0.04400583,0.798303,293.916,0,0.04727784,0.000
rxn8837,uma-m,0.752253,0.757390,0.114536,0.438034,1,-0.04400583,0.798303,293.916,1,-0.22514865,3230.947
rxn8837,uma-s,0.045953,0.748923,0.168753,0.745214,1,-0.04400583,0.798303,293.916,1,-0.24437803,3474.484
rxn8885,esen,0.399534,0.380135,0.018388,0.098203,1,-0.01109208,0.922526,42.751,1,-0.21622031,3014.823
rxn8885,uma-m,0.021909,0.178117,0.019726,0.166988,1,-0.01109208,0.922526,42.751,1,-0.00420656,5.015
rxn8885,uma-s,0.467814,0.483341,0.020679,0.099390,1,-0.01109208,0.922526,42.751,1,-0.15645979,2033.745
rxn9246,esen,0.073628,0.100371,0.016208,0.101534,0,0.15454423,0.014248,0.000,0,0.15349758,0.000
rxn9246,uma-m,0.069841,0.067985,0.011870,0.064688,0,0.15454423,0.014248,0.000,0,0.15362087,0.000
rxn9246,uma-s,0.058770,0.073859,0.013762,0.076760,0,0.15454423,0.014248,0.000,0,0.15384048,0.000
